Student ID,Subject Code,Subject Name,Units
202108997,GNED 06,"Science, Technology, and Society",3
202108997,GNED 03,Mathematics in the Modern World,3
202108997,ITEC 50,Web System and Technologies 1,2
202108997,FITT 2,Fitness Exercise,2
202108997,NSTP 2,National Service Training Program 2,3
202108997,GNED 08,Understanding the Self,3
202108997,ITEC 65,Open Source Technology,2
202108997,ITEC 70,Multimedia Systems,2
202218588,GNED 08,Understanding the Self,3
202218588,DCIT 25,Data Structures and Algorithms,2
202218588,ITEC 60,Integrated Programming and Technologies 1,2
202218588,ITEC 65,Open Source Technology,2
202218588,DCIT 55,Advanced Database System,2
202218588,ITEC 70,Multimedia Systems,2
202218588,FITT 4,Physical Activities towards Health and Fitness II,2
202218588,NSTP 2,National Service Training Program 2,3
202218929,GNED 08,Understanding the Self,3
202218929,DCIT 25,Data Structures and Algorithms,2
202218929,ITEC 60,Integrated Programming and Technologies 1,2
202218929,ITEC 65,Open Source Technology,2
202218929,DCIT 55,Advanced Database System,2
202218929,ITEC 70,Multimedia Systems,2
202218929,FITT 4,Physical Activities towards Health and Fitness II,2
202109679,GNED 08,Understanding the Self,3
202109679,DCIT 25,Data Structures and Algorithms,2
202109679,ITEC 60,Integrated Programming and Technologies 1,2
202109679,ITEC 65,Open Source Technology,2
202109679,DCIT 55,Advanced Database System,2
202109679,ITEC 70,Multimedia Systems,2
202109679,FITT 4,Physical Activities towards Health and Fitness II,2
202218604,GNED 08,Understanding the Self,3
202218604,DCIT 25,Data Structures and Algorithms,2
202218604,ITEC 60,Integrated Programming and Technologies 1,2
202218604,ITEC 65,Open Source Technology,2
202218604,DCIT 55,Advanced Database System,2
202218604,ITEC 70,Multimedia Systems,2
202218604,FITT 4,Physical Activities towards Health and Fitness II,2
202218793,GNED 08,Understanding the Self,3
202218793,DCIT 25,Data Structures and Algorithms,2
202218793,ITEC 60,Integrated Programming and Technologies 1,2
202218793,ITEC 65,Open Source Technology,2
202218793,DCIT 55,Advanced Database System,2
202218793,ITEC 70,Multimedia Systems,2
202218793,FITT 4,Physical Activities towards Health and Fitness II,2
202218616,GNED 08,Understanding the Self,3
202218616,DCIT 25,Data Structures and Algorithms,2
202218616,ITEC 60,Integrated Programming and Technologies 1,2
202218616,ITEC 65,Open Source Technology,2
202218616,DCIT 55,Advanced Database System,2
202218616,ITEC 70,Multimedia Systems,2
202218616,FITT 4,Physical Activities towards Health and Fitness II,2
202218620,GNED 08,Understanding the Self,3
202218620,DCIT 25,Data Structures and Algorithms,2
202218620,ITEC 60,Integrated Programming and Technologies 1,2
202218620,ITEC 65,Open Source Technology,2
202218620,DCIT 55,Advanced Database System,2
202218620,ITEC 70,Multimedia Systems,2
202218620,FITT 4,Physical Activities towards Health and Fitness II,2
202109673,GNED 08,Understanding the Self,3
202109673,DCIT 25,Data Structures and Algorithms,2
202109673,ITEC 60,Integrated Programming and Technologies 1,2
202109673,ITEC 65,Open Source Technology,2
202109673,DCIT 55,Advanced Database System,2
202109673,ITEC 70,Multimedia Systems,2
202109673,FITT 4,Physical Activities towards Health and Fitness II,2
202109673,NSTP 2,National Service Training Program 2,3
202109325,GNED 08,Understanding the Self,3
202109325,DCIT 25,Data Structures and Algorithms,2
202109325,ITEC 60,Integrated Programming and Technologies 1,2
202109325,ITEC 65,Open Source Technology,2
202109325,DCIT 55,Advanced Database System,2
202109325,ITEC 70,Multimedia Systems,2
202109325,FITT 4,Physical Activities towards Health and Fitness II,2
202109325,ITEC 50,Web System and Technologies 1,2
202218811,GNED 08,Understanding the Self,3
202218811,DCIT 25,Data Structures and Algorithms,2
202218811,ITEC 60,Integrated Programming and Technologies 1,2
202218811,ITEC 65,Open Source Technology,2
202218811,DCIT 55,Advanced Database System,2
202218811,ITEC 70,Multimedia Systems,2
202218811,FITT 4,Physical Activities towards Health and Fitness II,2
202218811,NSTP 2,National Service Training Program 2,3
202218815,GNED 08,Understanding the Self,3
202218815,DCIT 25,Data Structures and Algorithms,2
202218815,ITEC 60,Integrated Programming and Technologies 1,2
202218815,ITEC 65,Open Source Technology,2
202218815,DCIT 55,Advanced Database System,2
202218815,ITEC 70,Multimedia Systems,2
202218815,FITT 4,Physical Activities towards Health and Fitness II,2
202218826,GNED 08,Understanding the Self,3
202218826,DCIT 25,Data Structures and Algorithms,2
202218826,ITEC 60,Integrated Programming and Technologies 1,2
202218826,ITEC 65,Open Source Technology,2
202218826,DCIT 55,Advanced Database System,2
202218826,ITEC 70,Multimedia Systems,2
202218826,FITT 4,Physical Activities towards Health and Fitness II,2
202218828,DCIT 23,Computer Programming 2,1
202218828,ITEC 50,Web System and Technologies 1,2
202218828,NSTP 2,National Service Training Program 2,3
202218828,GNED 06,"Science, Technology, and Society",3
202218828,FITT 2,Fitness Exercise,2
202218828,GNED 08,Understanding the Self,3
202218829,GNED 08,Understanding the Self,3
202218829,DCIT 25,Data Structures and Algorithms,2
202218829,ITEC 60,Integrated Programming and Technologies 1,2
202218829,ITEC 65,Open Source Technology,2
202218829,DCIT 55,Advanced Database System,2
202218829,ITEC 70,Multimedia Systems,2
202218829,FITT 4,Physical Activities towards Health and Fitness II,2
202218651,DCIT 25,Data Structures and Algorithms,2
202218651,ITEC 60,Integrated Programming and Technologies 1,2
202218651,ITEC 65,Open Source Technology,2
202218651,DCIT 55,Advanced Database System,2
202218651,ITEC 70,Multimedia Systems,2
202218651,ITEC 50,Web System and Technologies 1,2
202218651,FITT 2,Fitness Exercise,2
202218651,NSTP 2,National Service Training Program 2,3
202218652,GNED 08,Understanding the Self,3
202218652,DCIT 25,Data Structures and Algorithms,2
202218652,ITEC 60,Integrated Programming and Technologies 1,2
202218652,ITEC 65,Open Source Technology,2
202218652,DCIT 55,Advanced Database System,2
202218652,ITEC 70,Multimedia Systems,2
202218652,FITT 4,Physical Activities towards Health and Fitness II,2
202218831,GNED 08,Understanding the Self,3
202218831,DCIT 25,Data Structures and Algorithms,2
202218831,ITEC 60,Integrated Programming and Technologies 1,2
202218831,ITEC 65,Open Source Technology,2
202218831,DCIT 55,Advanced Database System,2
202218831,ITEC 70,Multimedia Systems,2
202218831,FITT 4,Physical Activities towards Health and Fitness II,2
202218654,GNED 08,Understanding the Self,3
202218654,DCIT 25,Data Structures and Algorithms,2
202218654,ITEC 60,Integrated Programming and Technologies 1,2
202218654,ITEC 65,Open Source Technology,2
202218654,DCIT 55,Advanced Database System,2
202218654,ITEC 70,Multimedia Systems,2
202218654,FITT 4,Physical Activities towards Health and Fitness II,2
202218657,GNED 08,Understanding the Self,3
202218657,DCIT 25,Data Structures and Algorithms,2
202218657,ITEC 60,Integrated Programming and Technologies 1,2
202218657,ITEC 65,Open Source Technology,2
202218657,DCIT 55,Advanced Database System,2
202218657,ITEC 70,Multimedia Systems,2
202218657,FITT 4,Physical Activities towards Health and Fitness II,2
202218848,GNED 08,Understanding the Self,3
202218848,DCIT 25,Data Structures and Algorithms,2
202218848,ITEC 60,Integrated Programming and Technologies 1,2
202218848,ITEC 65,Open Source Technology,2
202218848,DCIT 55,Advanced Database System,2
202218848,ITEC 70,Multimedia Systems,2
202218848,FITT 4,Physical Activities towards Health and Fitness II,2
202218848,NSTP 2,National Service Training Program 2,3
202218849,GNED 08,Understanding the Self,3
202218849,DCIT 25,Data Structures and Algorithms,2
202218849,ITEC 60,Integrated Programming and Technologies 1,2
202218849,ITEC 65,Open Source Technology,2
202218849,DCIT 55,Advanced Database System,2
202218849,ITEC 70,Multimedia Systems,2
202218849,FITT 4,Physical Activities towards Health and Fitness II,2
202218676,GNED 08,Understanding the Self,3
202218676,DCIT 25,Data Structures and Algorithms,2
202218676,ITEC 60,Integrated Programming and Technologies 1,2
202218676,ITEC 65,Open Source Technology,2
202218676,DCIT 55,Advanced Database System,2
202218676,ITEC 70,Multimedia Systems,2
202218676,FITT 4,Physical Activities towards Health and Fitness II,2
202218859,GNED 08,Understanding the Self,3
202218859,DCIT 25,Data Structures and Algorithms,2
202218859,ITEC 60,Integrated Programming and Technologies 1,2
202218859,ITEC 65,Open Source Technology,2
202218859,DCIT 55,Advanced Database System,2
202218859,ITEC 70,Multimedia Systems,2
202218859,FITT 4,Physical Activities towards Health and Fitness II,2
202218687,GNED 08,Understanding the Self,3
202218687,DCIT 25,Data Structures and Algorithms,2
202218687,ITEC 60,Integrated Programming and Technologies 1,2
202218687,ITEC 65,Open Source Technology,2
202218687,DCIT 55,Advanced Database System,2
202218687,ITEC 70,Multimedia Systems,2
202218687,FITT 4,Physical Activities towards Health and Fitness II,2
202218860,GNED 08,Understanding the Self,3
202218860,DCIT 25,Data Structures and Algorithms,2
202218860,ITEC 60,Integrated Programming and Technologies 1,2
202218860,ITEC 65,Open Source Technology,2
202218860,DCIT 55,Advanced Database System,2
202218860,ITEC 70,Multimedia Systems,2
202218860,FITT 4,Physical Activities towards Health and Fitness II,2
202218861,GNED 08,Understanding the Self,3
202218861,DCIT 25,Data Structures and Algorithms,2
202218861,ITEC 60,Integrated Programming and Technologies 1,2
202218861,ITEC 65,Open Source Technology,2
202218861,DCIT 55,Advanced Database System,2
202218861,ITEC 70,Multimedia Systems,2
202218861,FITT 4,Physical Activities towards Health and Fitness II,2
202218861,NSTP 2,National Service Training Program 2,3
202218863,GNED 08,Understanding the Self,3
202218863,DCIT 25,Data Structures and Algorithms,2
202218863,ITEC 60,Integrated Programming and Technologies 1,2
202218863,ITEC 65,Open Source Technology,2
202218863,DCIT 55,Advanced Database System,2
202218863,ITEC 70,Multimedia Systems,2
202218863,FITT 4,Physical Activities towards Health and Fitness II,2
202218700,GNED 08,Understanding the Self,3
202218700,DCIT 25,Data Structures and Algorithms,2
202218700,ITEC 60,Integrated Programming and Technologies 1,2
202218700,ITEC 65,Open Source Technology,2
202218700,DCIT 55,Advanced Database System,2
202218700,ITEC 70,Multimedia Systems,2
202218700,FITT 4,Physical Activities towards Health and Fitness II,2
202218871,GNED 08,Understanding the Self,3
202218871,DCIT 25,Data Structures and Algorithms,2
202218871,ITEC 60,Integrated Programming and Technologies 1,2
202218871,ITEC 65,Open Source Technology,2
202218871,DCIT 55,Advanced Database System,2
202218871,ITEC 70,Multimedia Systems,2
202218871,FITT 4,Physical Activities towards Health and Fitness II,2
202218871,NSTP 2,National Service Training Program 2,3
202109417,GNED 08,Understanding the Self,3
202109417,DCIT 25,Data Structures and Algorithms,2
202109417,ITEC 60,Integrated Programming and Technologies 1,2
202109417,ITEC 65,Open Source Technology,2
202109417,DCIT 55,Advanced Database System,2
202109417,ITEC 70,Multimedia Systems,2
202109417,FITT 4,Physical Activities towards Health and Fitness II,2
202010313,GNED 08,Understanding the Self,3
202010313,ITEC 65,Open Source Technology,2
202010313,NSTP 2,National Service Training Program 2,3
202010313,GNED 09,Life and Works of Rizal,3
202218743,GNED 08,Understanding the Self,3
202218743,DCIT 25,Data Structures and Algorithms,2
202218743,ITEC 60,Integrated Programming and Technologies 1,2
202218743,ITEC 65,Open Source Technology,2
202218743,DCIT 55,Advanced Database System,2
202218743,ITEC 70,Multimedia Systems,2
202218743,FITT 4,Physical Activities towards Health and Fitness II,2
202218894,GNED 08,Understanding the Self,3
202218894,DCIT 25,Data Structures and Algorithms,2
202218894,ITEC 60,Integrated Programming and Technologies 1,2
202218894,ITEC 65,Open Source Technology,2
202218894,DCIT 55,Advanced Database System,2
202218894,ITEC 70,Multimedia Systems,2
202218894,FITT 4,Physical Activities towards Health and Fitness II,2
202218895,GNED 08,Understanding the Self,3
202218895,DCIT 25,Data Structures and Algorithms,2
202218895,ITEC 60,Integrated Programming and Technologies 1,2
202218895,ITEC 65,Open Source Technology,2
202218895,DCIT 55,Advanced Database System,2
202218895,ITEC 70,Multimedia Systems,2
202218895,FITT 4,Physical Activities towards Health and Fitness II,2
202218896,GNED 08,Understanding the Self,3
202218896,DCIT 25,Data Structures and Algorithms,2
202218896,ITEC 60,Integrated Programming and Technologies 1,2
202218896,ITEC 65,Open Source Technology,2
202218896,DCIT 55,Advanced Database System,2
202218896,ITEC 70,Multimedia Systems,2
202218896,FITT 4,Physical Activities towards Health and Fitness II,2
202218898,GNED 08,Understanding the Self,3
202218898,DCIT 25,Data Structures and Algorithms,2
202218898,ITEC 60,Integrated Programming and Technologies 1,2
202218898,ITEC 65,Open Source Technology,2
202218898,DCIT 55,Advanced Database System,2
202218898,ITEC 70,Multimedia Systems,2
202218898,FITT 4,Physical Activities towards Health and Fitness II,2
